icd_value,diagnosisname,count,icd_type,icd_l1_name,icd_l2_name,icd_l3_name
Z92.21,Personal history of antineoplastic chemotherapy,9495,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Personal history of medical treatment
M10.9,"Gout, unspecified",9418,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Inflammatory polyarthropathies (M05-M14),Gout
E43,Unspecified severe protein-calorie malnutrition,9417,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Malnutrition (E40-E46),Unspecified severe protein-calorie malnutrition
Z92.3,Personal history of irradiation,9413,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Personal history of medical treatment
M81.0,Age-related osteoporosis without current pathological fracture,9302,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Disorders of bone density and structure (M80-M85),Osteoporosis without current pathological fracture
R29.6,Repeated falls,9236,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the nervous and musculoskeletal systems (R25-R29),Other symptoms and signs involving the nervous and musculoskeletal systems
R20.0,Anesthesia of skin,9194,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the skin and subcutaneous tissue (R20-R23),Disturbances of skin sensation
J02.9,"Acute pharyngitis, unspecified",9178,ICD-10-CM,Diseases of the respiratory system (J00-J99),Acute upper respiratory infections (J00-J06),Acute pharyngitis
I50.20,Unspecified systolic (congestive) heart failure (CMS code),9111,ICD-10-CM,Diseases of the circulatory system (I00-I99),Other forms of heart disease (I30-I52),Heart failure
R65.21,Severe sepsis with septic shock (CMS code),9046,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",General symptoms and signs (R50-R69),Symptoms and signs specifically associated with systemic inflammation and infection
B20,Human immunodeficiency virus (HIV) disease (CMS code),9046,ICD-10-CM,Certain infectious and parasitic diseases (A00-B99),Human immunodeficiency virus [HIV] disease (B20),Human immunodeficiency virus [HIV] disease
I48.92,Unspecified atrial flutter (CMS code),9029,ICD-10-CM,Diseases of the circulatory system (I00-I99),Other forms of heart disease (I30-I52),Atrial fibrillation and flutter
I12.0,Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease (CMS code),8952,ICD-10-CM,Diseases of the circulatory system (I00-I99),Hypertensive diseases (I10-I16),Hypertensive chronic kidney disease
I49.8,Other specified cardiac dysrhythmias(427.89),8933,ICD-10-CM,Diseases of the circulatory system (I00-I99),Other forms of heart disease (I30-I52),Other cardiac arrhythmias
R29.898,Other symptoms and signs involving the musculoskeletal system,8829,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the nervous and musculoskeletal systems (R25-R29),Other symptoms and signs involving the nervous and musculoskeletal systems
I13.0,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease (CMS code)",8797,ICD-10-CM,Diseases of the circulatory system (I00-I99),Hypertensive diseases (I10-I16),Hypertensive heart and chronic kidney disease
D63.8,Anemia in other chronic diseases classified elsewhere,8716,ICD-10-CM,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),Aplastic and other anemias and other bone marrow failure syndromes (D60-D64),Anemia in chronic diseases classified elsewhere
D70.9,"Neutropenia, unspecified",8606,ICD-10-CM,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),Other disorders of blood and blood-forming organs (D70-D77),Neutropenia
F17.200,"Nicotine dependence, unspecified, uncomplicated",8602,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)",Mental and behavioral disorders due to psychoactive substance use (F10-F19),Nicotine dependence
C78.7,Secondary malignant neoplasm of liver and intrahepatic bile duct (CMS code),8420,ICD-10-CM,Neoplasms (C00-D49),"Malignant neoplasms of ill-defined, other secondary and unspecified sites (C76-C80)",Secondary malignant neoplasm of respiratory and digestive organs
R41.0,"Disorientation, unspecified",8397,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Symptoms and signs involving cognition, perception, emotional state and behavior (R40-R46)",Other symptoms and signs involving cognitive functions and awareness
R31.9,"Hematuria, unspecified",8356,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the genitourinary system (R30-R39),Hematuria
R65.20,Severe sepsis without septic shock (CMS code),8283,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",General symptoms and signs (R50-R69),Symptoms and signs specifically associated with systemic inflammation and infection
R09.89,Other dyspnea and respiratory abnormality,8263,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the circulatory and respiratory systems (R00-R09),Other symptoms and signs involving the circulatory and respiratory system
J98.11,Atelectasis,8253,ICD-10-CM,Diseases of the respiratory system (J00-J99),Other diseases of the respiratory system (J96-J99),Other respiratory disorders
Z86.718,Personal history of other venous thrombosis and embolism,8253,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Personal history of certain other diseases
IMO0001,DVT prophylaxis,8183,ICD-10-CM,,,
M79.609,Pain in limb,8120,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Other soft tissue disorders (M70-M79),"Other and unspecified soft tissue disorders, not elsewhere classified"
Z83.3,Family history of diabetes mellitus,8103,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Family history of other specific disorders
I50.30,Unspecified diastolic (congestive) heart failure (CMS code),7794,ICD-10-CM,Diseases of the circulatory system (I00-I99),Other forms of heart disease (I30-I52),Heart failure
D68.9,"Coagulation defect, unspecified",7792,ICD-10-CM,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),"Coagulation defects, purpura and other hemorrhagic conditions (D65-D69)",Other coagulation defects
Z88.0,Allergy status to penicillin,7750,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),"Allergy status to drugs, medicaments and biological substances"
I27.20,"Pulmonary hypertension, unspecified (CMS code)",7651,ICD-10-CM,Diseases of the circulatory system (I00-I99),Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),Other pulmonary heart diseases
R45.1,Restlessness and agitation,7580,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Symptoms and signs involving cognition, perception, emotional state and behavior (R40-R46)",Symptoms and signs involving emotional state
R74.01,Elevation of levels of liver transaminase levels,7575,ICD-10-CM,,,
R60.9,Edema,7546,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",General symptoms and signs (R50-R69),"Edema, not elsewhere classified"
Z90.49,Acquired absence of other specified parts of digestive tract,7530,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),"Acquired absence of organs, not elsewhere classified"
J45.901,Unspecified asthma with (acute) exacerbation,7504,ICD-10-CM,Diseases of the respiratory system (J00-J99),Chronic lower respiratory diseases (J40-J47),Asthma
N18.30,"Chronic kidney disease, stage 3 unspecified (CMS code)",7426,ICD-10-CM,,,
E83.42,Hypomagnesemia,7323,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Metabolic disorders (E70-E88),Disorders of mineral metabolism
L08.9,"Local infection of the skin and subcutaneous tissue, unspecified",7314,ICD-10-CM,Diseases of the skin and subcutaneous tissue (L00-L99),Infections of the skin and subcutaneous tissue (L00-L08),Other local infections of skin and subcutaneous tissue
F31.9,"Bipolar disorder, unspecified (CMS code)",7282,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)",Mood [affective] disorders (F30-F39),Bipolar disorder
R73.9,"Hyperglycemia, unspecified",7263,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Abnormal findings on examination of blood, without diagnosis (R70-R79)",Elevated blood glucose level
R64,Cachexia,7252,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",General symptoms and signs (R50-R69),Cachexia
R06.09,Other dyspnea and respiratory abnormality,7228,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the circulatory and respiratory systems (R00-R09),Abnormalities of breathing
G43.909,"Migraine, unspecified, not intractable, without status migrainosus",7226,ICD-10-CM,Diseases of the nervous system (G00-G99),Episodic and paroxysmal disorders (G40-G47),Migraine
I50.33,Acute on chronic diastolic (congestive) heart failure (CMS code),7176,ICD-10-CM,Diseases of the circulatory system (I00-I99),Other forms of heart disease (I30-I52),Heart failure
C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung (CMS code),7172,ICD-10-CM,Neoplasms (C00-D49),Malignant neoplasms of respiratory and intrathoracic organs (C30-C39),Malignant neoplasm of bronchus and lung
I50.22,Chronic systolic (congestive) heart failure (CMS code),7142,ICD-10-CM,Diseases of the circulatory system (I00-I99),Other forms of heart disease (I30-I52),Heart failure
Z95.1,Presence of aortocoronary bypass graft,7065,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Presence of cardiac and vascular implants and grafts
Z91.81,History of falling,7057,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),"Personal risk factors, not elsewhere classified"
R30.0,Dysuria,6966,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the genitourinary system (R30-R39),Pain associated with micturition
R50.81,Fever presenting with conditions classified elsewhere,6921,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",General symptoms and signs (R50-R69),Fever of other and unknown origin
T14.8XXA,"Other injury of unspecified body region, initial encounter",6920,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injury of unspecified body region (T14),Injury of unspecified body region
R69,"Illness, unspecified",6916,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",General symptoms and signs (R50-R69),"Illness, unspecified"
M54.5,Low back pain,6889,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Other dorsopathies (M50-M54),Dorsalgia
